razvijenost_rank,jls,zupanija,razvojna_skupina,dohodak,prihodi,obrazovanje
398,Sućuraj,Splitsko-dalmatinska,3,23119.3,3334.17,0.2231
399,Vrpolje,Brodsko-posavska,3,17306.11,965.28,0.0671
400,Lovas,Vukovarsko-srijemska,3,24686.88,2204.49,0.0799
401,Feričanci,Osječko-baranjska,3,22707.92,1351.57,0.0941
402,Stari Mikanovci,Vukovarsko-srijemska,3,19342.84,991.99,0.0771
403,Tordinci,Vukovarsko-srijemska,3,21299.89,1084.97,0.0681
404,Bednja,Varaždinska,3,19895.83,992.57,0.0815
405,Gola,Koprivničko-križevačka,2,15777.92,3268.48,0.0341
406,Martijanec,Varaždinska,2,24081.63,1199.47,0.0612
407,Strizivojna,Osječko-baranjska,2,17135.68,641.15,0.0604
408,Legrad,Koprivničko-križevačka,2,21665.54,1864.84,0.0711
409,Punitovci,Osječko-baranjska,2,18371.83,1398.84,0.0536
410,Grubišno Polje,Bjelovarsko-bilogorska,2,21440.2,1415.37,0.1202
411,Velika Kopanica,Brodsko-posavska,2,16582.74,1002.29,0.0651
412,Generalski Stol,Karlovačka,2,27029.52,1398.39,0.0705
413,Slunj,Karlovačka,2,28386.37,1489.71,0.1108
414,Sirač,Bjelovarsko-bilogorska,2,21573.53,1490.7,0.0728
415,Skradin,Šibensko-kninska,2,24418.59,1588.12,0.0681
416,Brestovac,Požeško-slavonska,2,19142.58,823.19,0.0802
417,Sikirevci,Brodsko-posavska,2,15672.71,721.24,0.0588
418,Podbablje,Splitsko-dalmatinska,2,18291.11,740.51,0.1503
419,Darda,Osječko-baranjska,2,20451.55,1161.71,0.0947
420,Desinić,Krapinsko-zagorska,2,21035.06,1013.18,0.0622
421,Bebrina,Brodsko-posavska,2,16546.01,705.99,0.0486
422,Topusko,Sisačko-moslavačka,2,23426.16,1879.56,0.1311
423,Magadenovac,Osječko-baranjska,2,18599.31,3429.98,0.055
424,Otok,Vukovarsko-srijemska,2,19176.13,1645.02,0.0657
425,Kaptol,Požeško-slavonska,2,16738.15,705.95,0.0719
426,Gundinci,Brodsko-posavska,2,14815.69,762.85,0.0519
427,Satnica Đakovačka,Osječko-baranjska,2,16906.45,929.46,0.0597
428,Nova Kapela,Brodsko-posavska,2,21035.16,1083.56,0.0806
429,Runovići,Splitsko-dalmatinska,2,18505.29,700.14,0.1652
430,Gornja Rijeka,Koprivničko-križevačka,2,15001.72,727.42,0.0355
431,Čačinci,Virovitičko-podravska,2,21915.94,1142.78,0.0917
432,Preseka,Zagrebačka,2,18347.05,782.53,0.0428
433,Ribnik,Karlovačka,2,21343.19,1811.83,0.1505
434,Semeljci,Osječko-baranjska,2,18631.69,1078.85,0.0606
435,Perušić,Ličko-senjska,2,26514.06,3398.99,0.1167
436,Kloštar Podravski,Koprivničko-križevačka,2,14091.8,1220.84,0.0706
437,Veliko Trojstvo,Bjelovarsko-bilogorska,2,19520.36,1793.36,0.0638
438,Ferdinandovac,Koprivničko-križevačka,2,17021.02,1442.72,0.0848
439,Stari Jankovci,Vukovarsko-srijemska,2,19377.14,1509.82,0.0797
440,Sveti Petar Orehovec,Koprivničko-križevačka,2,13074.72,565.85,0.0496
441,Marijanci,Osječko-baranjska,2,18970.57,1222.82,0.0513
442,Zdenci,Virovitičko-podravska,2,20177.96,1885.86,0.0896
443,Gorjani,Osječko-baranjska,2,17973.29,1503.12,0.0548
444,Martinska Ves,Sisačko-moslavačka,2,20709.31,1175.73,0.0664
445,Viškovci,Osječko-baranjska,2,18800.65,938.39,0.0425
446,Farkaševac,Zagrebačka,2,14904.74,745.56,0.0364
447,Šestanovac,Splitsko-dalmatinska,2,20367.22,933.2,0.0936
448,Hrvatska Kostajnica,Sisačko-moslavačka,2,24382.44,1372.87,0.1323
449,Vladislavci,Osječko-baranjska,2,19342.06,1329.22,0.0445
450,Gradište,Vukovarsko-srijemska,2,17428.31,826,0.0803
451,Sokolovac,Koprivničko-križevačka,2,17566.12,845.02,0.0485
452,Velika Trnovitica,Bjelovarsko-bilogorska,2,16406.13,1473.83,0.0734
453,Prgomet,Splitsko-dalmatinska,2,27258.66,1967.1,0.1008
454,Nijemci,Vukovarsko-srijemska,2,19878.83,2168.05,0.0525
455,Cernik,Brodsko-posavska,2,20619.28,873.45,0.0819
456,Pojezerje,Dubrovačko-neretvanska,2,16343.16,696,0.0675
457,Novo Virje,Koprivničko-križevačka,2,13857.31,1726.77,0.0471
458,Rešetari,Brodsko-posavska,2,18626.05,815.97,0.0717
459,Tounj,Karlovačka,2,21753.34,1565.71,0.0253
460,Koška,Osječko-baranjska,2,20194.62,1270.01,0.0601
461,Erdut,Osječko-baranjska,2,20572.55,1412.79,0.0873
462,Lišane Ostrovičke,Zadarska,2,21053.28,912.92,0.0311
463,Rovišće,Bjelovarsko-bilogorska,2,16021.69,797.37,0.0662
464,Ružić,Šibensko-kninska,2,23233.13,901.45,0.046
465,Kneževi Vinogradi,Osječko-baranjska,2,21026.08,1516.61,0.0911
466,Bošnjaci,Vukovarsko-srijemska,2,17383.76,1034.84,0.0989
467,Dragalić,Brodsko-posavska,2,18811.88,1253.47,0.0734
468,Veliki Grđevac,Bjelovarsko-bilogorska,2,19378.46,1345.82,0.0728
469,Šandrovac,Bjelovarsko-bilogorska,2,16921.71,2420.86,0.0299
470,Slavonski Šamac,Brodsko-posavska,2,13564.49,681.92,0.0635
471,Đurđenovac,Osječko-baranjska,2,19714.95,953.97,0.0861
472,Bogdanovci,Vukovarsko-srijemska,2,19920.2,1010.53,0.0698
473,Končanica,Bjelovarsko-bilogorska,2,18777.72,912.65,0.0596
474,Davor,Brodsko-posavska,2,16042.65,741.18,0.0488
475,Ivanska,Bjelovarsko-bilogorska,2,18687.18,1043.99,0.0647
476,Štefanje,Bjelovarsko-bilogorska,2,17741.8,1026.99,0.062
477,Vrbanja,Vukovarsko-srijemska,2,18151.86,1316.77,0.0529
478,Borovo,Vukovarsko-srijemska,2,16314.69,508.48,0.0908
479,Privlaka,Vukovarsko-srijemska,2,18496.03,1259.3,0.0716
480,Čaglin,Požeško-slavonska,2,14016.27,744.63,0.0639
481,Jasenovac,Sisačko-moslavačka,1,22846.17,1401.63,0.0686
482,Donja Motičina,Osječko-baranjska,1,19448.22,1100.93,0.0437
483,Kapela,Bjelovarsko-bilogorska,1,16226.04,999.93,0.0552
484,Brinje,Ličko-senjska,1,20504.51,1451.22,0.0459
485,Proložac,Splitsko-dalmatinska,1,16023.76,537.03,0.1194
486,Donja Voća,Varaždinska,1,14395.8,576.05,0.0448
487,Negoslavci,Vukovarsko-srijemska,1,16784.68,442.27,0.0889
488,Petlovac,Osječko-baranjska,1,20442.21,1375.36,0.0604
489,Podravska Moslavina,Osječko-baranjska,1,16503.52,1097.54,0.04
490,Crnac,Virovitičko-podravska,1,18637.48,2271.18,0.0467
491,Nova Rača,Bjelovarsko-bilogorska,1,16963.41,948.16,0.0646
492,Lovreć,Splitsko-dalmatinska,1,19353.84,1079.05,0.108
493,Unešić,Šibensko-kninska,1,26269.68,1548.57,0.0868
494,Trnava,Osječko-baranjska,1,15254.94,940.37,0.0603
495,Staro Petrovo Selo,Brodsko-posavska,1,17904.9,1064.34,0.0667
496,Udbina,Ličko-senjska,1,19561.32,2200.72,0.1068
497,Špišić Bukovica,Virovitičko-podravska,1,15040.27,1046.56,0.0433
498,Lukač,Virovitičko-podravska,1,17428.32,1342.39,0.0447
499,Trpinja,Vukovarsko-srijemska,1,15326.41,1116.74,0.0842
500,Zagvozd,Splitsko-dalmatinska,1,23278.43,2298.2,0.0757
501,Berek,Bjelovarsko-bilogorska,1,15702.93,1274.09,0.0414
502,Suhopolje,Virovitičko-podravska,1,17087.3,1092.77,0.0636
503,Tompojevci,Vukovarsko-srijemska,1,21601.99,1518.7,0.0839
504,Štitar,Vukovarsko-srijemska,1,14115.64,566.64,0.0607
505,Severin,Bjelovarsko-bilogorska,1,18066.46,1395.44,0.0262
506,Zažablje,Dubrovačko-neretvanska,1,20122.59,654.37,0.0789
507,Dežanovac,Bjelovarsko-bilogorska,1,16474.05,847.92,0.0361
508,Babina Greda,Vukovarsko-srijemska,1,12956.53,752.04,0.0422
509,Glina,Sisačko-moslavačka,1,22762.4,1478.08,0.0982
510,Mikleuš,Virovitičko-podravska,1,15667.29,787.78,0.0636
511,Nova Bukovica,Virovitičko-podravska,1,19375.22,1465.91,0.0521
512,Viljevo,Osječko-baranjska,1,15575.21,1098.69,0.0463
513,Drenje,Osječko-baranjska,1,14618,676.76,0.0387
514,Drenovci,Vukovarsko-srijemska,1,15587.87,1373.96,0.0537
515,Stara Gradiška,Brodsko-posavska,1,20264.7,1197.22,0.0758
516,Čađavica,Virovitičko-podravska,1,16192.22,1530.89,0.0433
517,Velika Pisanica,Bjelovarsko-bilogorska,1,15523.57,1110.86,0.0519
518,Lećevica,Splitsko-dalmatinska,1,27279.59,1651.07,0.0513
519,Gračac,Zadarska,1,18955.35,1333.17,0.0908
520,Vojnić,Karlovačka,1,13100.21,686.74,0.0677
521,Podgorač,Osječko-baranjska,1,15113.67,1397,0.0407
522,Markušica,Vukovarsko-srijemska,1,13007.64,667.68,0.0936
523,Draž,Osječko-baranjska,1,19325.66,1209.63,0.08
524,Gradina,Virovitičko-podravska,1,14548.7,1108.49,0.0465
525,Cista Provo,Splitsko-dalmatinska,1,15868.22,742.57,0.0774
526,Popovac,Osječko-baranjska,1,20195.35,1856.31,0.0502
527,Sopje,Virovitičko-podravska,1,15147.46,1232.36,0.0304
528,Zrinski Topolovac,Bjelovarsko-bilogorska,1,10161.91,867.6,0.0359
529,Voćin,Virovitičko-podravska,1,12580.34,1367.4,0.0535
530,Lokvičići,Splitsko-dalmatinska,1,16614.96,1549.35,0.0446
531,Šodolovci,Osječko-baranjska,1,16540.02,1065.19,0.0765
532,Saborsko,Karlovačka,1,23044.91,3681.86,0.0793
533,Majur,Sisačko-moslavačka,1,21678.74,928.05,0.0749
534,Gornji Bogićevci,Brodsko-posavska,1,13659.11,874.78,0.0547
535,Sunja,Sisačko-moslavačka,1,20087.43,1009.49,0.0673
536,Levanjska Varoš,Osječko-baranjska,1,11696.79,933.17,0.0392
537,Vrbje,Brodsko-posavska,1,14291.83,780.42,0.0341
538,Jagodnjak,Osječko-baranjska,1,14140.62,1290.92,0.0433
539,Cetingrad,Karlovačka,1,19382.95,1125.49,0.0594
540,Hrvatska Dubica,Sisačko-moslavačka,1,17019.33,1050.31,0.0984
541,Okučani,Brodsko-posavska,1,15196.91,763.8,0.0636
542,Gunja,Vukovarsko-srijemska,1,12733,579.8,0.0732
543,Žumberak,Zagrebačka,1,22515.63,1746.36,0.0659
544,Plaški,Karlovačka,1,14642.03,694.91,0.1048
545,Kijevo,Šibensko-kninska,1,28778.79,1601.73,0.0427
546,Krnjak,Karlovačka,1,13493.39,828.26,0.0893
547,Đulovac,Bjelovarsko-bilogorska,1,11514.99,613.34,0.0237
548,Dvor,Sisačko-moslavačka,1,15798.24,742.27,0.1168
549,Vrhovine,Ličko-senjska,1,12468.37,2011.82,0.1147
550,Donji Lapac,Ličko-senjska,1,17204.87,886.89,0.1308
551,Kistanje,Šibensko-kninska,1,8947.59,386.83,0.0948
552,Donji Kukuruzari,Sisačko-moslavačka,1,13110.16,482.97,0.0611
553,Gvozd,Sisačko-moslavačka,1,15364.54,902.38,0.0823
554,Biskupija,Šibensko-kninska,1,16363.81,1149.27,0.1272
555,Ervenik,Šibensko-kninska,1,14498.85,589.57,0.1326
556,Civljane,Šibensko-kninska,1,17671.99,4448.79,0.0256
